Average degree;Bipartite;Claw-free;Clique number;Connected;Density;Diameter;Edge connectivity;Eulerian;Matching number;Maximum degree;Minimum degree;Number of components;Number of edges;Number of triangles;Number of vertices ;Planar ;Radius;Regular;Vertex connectivity;Largest L-eigenvalue ;AS Second largest Eigenvalue;AS Smallest Eigenvalue;Laplacian spectrum;Chromatic Number;Girth;Domination number;Independence number;Chromatic Index
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.582;2.698;-2.582;0.302;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.568;2.688;-2.568;0.312;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.579;2.686;-2.579;0.314;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.680;2.622;-2.68;0.378;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.552;2.601;-2.552;0.399;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.804;2.691;-2.804;0.309;3;5;8;14;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.714;2.697;-2.714;0.303;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.648;2.675;-2.648;0.325;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.748;2.706;-2.748;0.294;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.689;2.689;-2.689;0.311;3;5;8;13;4
3;0;0;2;1;0.103;5;3;0;15;3;3;1;45;0;30;0;5;1;3;5.612;2.678;-2.612;0.322;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.671;2.669;-2.671;0.331;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.678;2.688;-2.678;0.312;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.574;2.704;-2.574;0.294;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.709;2.691;-2.709;0.309;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.510;2.697;-2.51;0.303;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.531;2.699;-2.531;0.301;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.568;2.689;-2.568;0.311;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.765;2.630;-2.765;0.37;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.739;2.698;-2.739;0.302;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.764;2.618;-2.764;0.382;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.681;2.587;-2.681;0.413;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.544;2.663;-2.544;0.337;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.532;2.621;-2.532;0.379;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.557;2.632;-2.557;0.368;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.696;2.667;-2.696;0.333;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.619;2.629;-2.619;0.371;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.750;2.625;-2.75;0.375;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.625;2.639;-2.625;0.361;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.679;2.637;-2.679;0.363;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.612;2.622;-2.612;0.378;3;5;9;13;4
3;0;0;2;1;0.103;5;3;0;15;3;3;1;45;0;30;0;4;1;3;5.608;2.670;-2.608;0.33;3;5;8;12;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.693;2.631;-2.693;0.369;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.766;2.639;-2.766;0.361;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.752;2.635;-2.752;0.365;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.682;2.660;-2.682;0.34;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.666;2.683;-2.666;0.317;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.689;2.699;-2.689;0.301;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.662;2.663;-2.662;0.337;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.558;2.620;-2.558;0.38;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.660;2.614;-2.66;0.386;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.608;2.637;-2.608;0.363;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.708;2.634;-2.708;0.366;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.696;2.618;-2.696;0.382;3;5;8;13;4
3;0;0;2;1;0.103;5;3;0;15;3;3;1;45;0;30;0;4;1;3;5.596;2.656;-2.596;0.344;3;5;8;12;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.662;2.645;-2.662;0.355;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.516;2.617;-2.516;0.383;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.575;2.628;-2.575;0.372;3;5;9;13;4
3;0;0;2;1;0.103;5;3;0;15;3;3;1;45;0;30;0;4;1;3;5.526;2.631;-2.526;0.369;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.669;2.635;-2.669;0.365;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.660;2.598;-2.66;0.402;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.695;2.618;-2.695;0.382;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.541;2.616;-2.541;0.384;3;5;8;12;4
3;0;0;2;1;0.103;5;3;0;15;3;3;1;45;0;30;0;4;1;3;5.776;2.656;-2.776;0.344;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.544;2.632;-2.544;0.368;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.538;2.620;-2.538;0.38;3;5;9;12;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.616;2.602;-2.616;0.398;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.689;2.694;-2.689;0.306;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.764;2.619;-2.764;0.381;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.741;2.691;-2.741;0.309;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.690;2.688;-2.69;0.312;3;5;9;13;4
3;0;0;2;1;0.103;5;3;0;15;3;3;1;45;0;30;0;5;1;3;5.571;2.649;-2.571;0.351;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.675;2.602;-2.675;0.398;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.607;2.690;-2.607;0.31;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.567;2.694;-2.567;0.306;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.686;2.607;-2.686;0.393;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.569;2.603;-2.569;0.397;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.661;2.629;-2.661;0.371;3;5;9;13;4
3;0;0;2;1;0.103;5;3;0;15;3;3;1;45;0;30;0;5;1;3;5.565;2.666;-2.565;0.334;3;5;8;12;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.681;2.610;-2.681;0.39;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.580;2.680;-2.58;0.32;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.681;2.601;-2.681;0.399;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.679;2.676;-2.679;0.324;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.693;2.676;-2.693;0.324;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.666;2.677;-2.666;0.323;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.546;2.610;-2.546;0.39;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.705;2.628;-2.705;0.372;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.609;2.618;-2.609;0.382;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.492;2.674;-2.492;0.326;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.538;2.672;-2.538;0.328;3;5;9;12;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.525;2.673;-2.525;0.327;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.632;2.681;-2.632;0.319;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.578;2.660;-2.578;0.34;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.752;2.604;-2.752;0.396;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.689;2.597;-2.689;0.403;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.688;2.584;-2.688;0.416;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.622;2.584;-2.622;0.416;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.624;2.646;-2.624;0.354;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.633;2.607;-2.633;0.393;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.716;2.631;-2.716;0.369;3;5;8;13;4
3;0;0;2;1;0.103;5;3;0;15;3;3;1;45;0;30;0;4;1;3;5.660;2.587;-2.66;0.413;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.567;2.622;-2.567;0.378;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.660;2.660;-2.66;0.34;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.608;2.607;-2.608;0.393;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.669;2.610;-2.669;0.39;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.714;2.682;-2.714;0.318;3;5;9;13;4
3;0;0;2;1;0.103;5;3;0;15;3;3;1;45;0;30;0;4;1;3;5.779;2.670;-2.779;0.33;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.539;2.628;-2.539;0.372;3;5;8;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.546;2.628;-2.546;0.372;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.679;2.628;-2.679;0.372;3;5;9;13;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;4;1;3;5.843;2.636;-2.843;0.364;3;5;8;14;4
3;0;0;3;1;0.103;10;1;0;14;3;3;1;45;0;30;0;5;1;3;5.912;2.954;-2.912;0.046;3;3;9;14;4
3;0;0;3;1;0.103;10;1;0;14;3;3;1;45;0;30;0;5;1;3;5.861;2.950;-2.861;0.05;3;3;9;14;4
3;0;0;3;1;0.103;9;1;0;14;3;3;1;45;0;30;0;5;1;3;5.861;2.946;-2.861;0.054;3;3;9;13;4
3;0;0;3;1;0.103;9;1;0;14;3;3;1;45;0;30;0;5;1;3;5.732;2.934;-2.732;0.066;3;3;9;13;4
3;0;0;2;1;0.103;10;1;0;14;3;3;1;45;0;30;0;5;1;3;5.854;2.944;-2.854;0.056;3;4;9;14;4
3;0;0;3;1;0.103;10;1;0;14;3;3;1;45;0;30;0;5;1;3;5.912;2.953;-2.912;0.047;3;3;8;14;4
3;0;0;3;1;0.103;10;1;0;14;3;3;1;45;0;30;0;6;1;3;5.955;2.957;-2.955;0.043;3;3;9;14;4
3;0;0;3;1;0.103;10;1;0;14;3;3;1;45;0;30;0;5;1;3;5.939;2.955;-2.939;0.045;3;3;9;14;4
3;0;0;3;1;0.103;9;1;0;14;3;3;1;45;0;30;0;5;1;3;5.912;2.948;-2.912;0.052;3;3;8;14;4
3;0;0;3;1;0.103;9;2;0;15;3;3;1;45;0;30;0;6;1;3;5.367;2.920;-2.367;0.08;3;3;8;12;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.603;2.682;-2.603;0.318;3;5;9;13;4
3;0;0;2;1;0.103;9;2;0;15;3;3;1;45;0;30;0;5;1;3;5.481;2.920;-2.481;0.08;3;5;9;12;4
3;0;0;3;1;0.103;5;3;0;15;3;3;1;45;0;30;0;5;1;3;5.500;2.562;-2;0.438;3;3;9;10;4
3;0;0;2;1;0.103;5;3;0;15;3;3;1;45;0;30;0;5;1;3;5.514;2.732;-2.514;0.268;3;5;9;13;4
3;0;0;2;1;0.103;7;2;0;15;3;3;1;45;0;30;0;5;1;3;5.554;2.873;-2.554;0.127;3;5;8;13;4
3;0;0;2;1;0.103;7;2;0;15;3;3;1;45;0;30;0;5;1;3;5.535;2.857;-2.535;0.143;3;5;8;13;4
3;0;0;2;1;0.103;7;2;0;15;3;3;1;45;0;30;0;5;1;3;5.514;2.881;-2.514;0.119;3;5;9;13;4
3;0;0;2;1;0.103;7;2;0;15;3;3;1;45;0;30;0;5;1;3;5.456;2.851;-2.456;0.149;3;5;9;12;4
3;0;0;2;1;0.103;6;3;0;15;3;3;1;45;0;30;0;5;1;3;5.514;2.770;-2.514;0.23;3;5;9;13;4
3;0;0;2;1;0.103;7;3;0;15;3;3;1;45;0;30;0;5;1;3;5.532;2.797;-2.532;0.203;3;5;8;13;4
