Density;Diameter;Radius;Largest L-eigenvalue ;AS Second largest Eigenvalue;AS Smallest Eigenvalue;Laplacian spectrum;Girth;Group Size;Domination number;Independence number;Chromatic index
0.08571;5;4;5.746;2.456;-2.746;0.544;7;1;10;16;3
0.08571;6;4;5.763;2.451;-2.763;0.549;7;1;10;16;3
0.08571;6;4;5.763;2.451;-2.763;0.549;7;1;10;16;3
0.08571;5;4;5.74;2.439;-2.74;0.561;7;1;10;16;3
0.08571;5;4;5.8;2.438;-2.8;0.562;7;1;10;16;3
0.08571;5;4;5.799;2.435;-2.799;0.565;7;1;10;16;3
0.08571;5;4;5.723;2.453;-2.723;0.547;7;1;10;16;3
0.08571;5;4;5.718;2.452;-2.718;0.548;7;1;10;16;3
0.08571;5;4;5.719;2.451;-2.719;0.549;7;1;10;16;3
0.08571;5;4;5.716;2.452;-2.716;0.549;7;1;10;16;3
0.08571;5;4;5.74;2.438;-2.74;0.519;7;1;10;16;3
0.08571;5;4;5.741;2.435;-2.741;0.565;7;1;10;16;3
0.08571;5;4;5.761;2.434;-2.761;0.566;7;1;10;16;3
0.08571;5;4;5.742;2.436;-2.742;0.564;7;1;10;16;3
0.08571;5;4;5.742;2.435;-2.742;0.565;7;1;10;16;3
0.08571;5;4;5.759;2.434;-2.759;0.566;7;1;10;16;3
0.08571;5;4;5.777;2.452;-2.777;0.548;7;1;10;16;3
0.08571;5;4;5.776;2.452;-2.776;0.548;7;1;10;16;3
0.08571;6;5;5.758;2.438;-2.758;0.562;7;1;10;16;3
0.08571;5;5;5.8;2.438;-2.8;0.562;7;1;10;16;3
0.08571;5;4;5.801;2.434;-2.801;0.566;7;1;10;16;3
0.08571;5;5;5.785;2.453;-2.785;0.547;7;1;10;16;3
0.08571;5;5;5.724;2.452;-2.724;0.548;7;1;10;16;3
0.08571;6;5;5.724;2.452;-2.724;0.548;7;1;10;16;3
0.08571;5;5;5.73;2.272;-2.73;0.545;7;1;10;16;3
0.08571;6;5;5.779;2.452;-2.779;0.548;7;1;10;16;3
0.08571;5;5;5.78;2.28;-2.78;0.548;7;1;10;16;3
0.08571;5;4;5.73;2.453;-2.73;0.0547;7;1;10;16;3
0.08571;5;5;5.78;2.455;-2.78;0.545;7;1;10;16;3
